market,model_group,training_rows,target,selected_feature_count,selected_features,training_hash,sklearn_version
OU,OVER,4663,expected_close_delta_for_side + target_game_win,20,over_open_implied_probability|under_open_implied_probability|abs_model_minus_open|model_minus_open|opening_total|opening_total_bucket|away_game_total_l7|away_starter_recent_form_index|home_sp_xFIP|home_sp_kbb|home_starter_recent_form_index|open_vig|away_sp_kbb|team_offense_form_diff_l7|away_sp_xFIP|combined_barrel_rate|home_game_total_l7|away_bullpen_fatigue_rate_l3d|model_total|away_wRC_plus_vs_hand,1e701417e1bf33b857255cb78ad50cca967be0a9028454fe5da9c73b4ff37f90,1.8.0
OU,UNDER,561,expected_close_delta_for_side + target_game_win,20,over_open_implied_probability|under_open_implied_probability|bullpen_fatigue_index|home_bullpen_fatigue_rate_l3d|open_vig|away_bullpen_fatigue_rate_l3d|away_wRC_plus_vs_hand|home_bullpen_ip_proxy_l3d|away_starter_recent_form_index|home_wRC_plus_vs_hand|combined_barrel_rate|opening_total|opening_total_bucket|starter_recent_form_diff|abs_model_minus_open|model_minus_open|team_offense_form_diff_l30|model_total|park_run_factor|away_sp_xFIP,7ffe75233101bc05a98a7f0319d48532134137410b42259501f92c427902b672,1.8.0
