season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2026,2026-03-26,823325,OU,OVER,San Diego Padres,Detroit Tigers,2026-03-26 23:55:00+00:00,HistoricalBasic,2026-03-26 23:59:00+00:00,True,7.0,-110.0,7.0,0.0,,PUSH
2026,2026-03-28,823892,OU,OVER,Miami Marlins,Colorado Rockies,2026-03-28 23:55:00+00:00,HistoricalBasic,2026-03-28 23:59:00+00:00,True,7.5,100.0,7.5,0.0,,PUSH
2026,2026-03-28,823488,OU,OVER,Philadelphia Phillies,Texas Rangers,2026-03-28 23:55:00+00:00,HistoricalBasic,2026-03-28 23:59:00+00:00,True,7.5,-110.0,7.5,0.0,,PUSH
2026,2026-03-29,823891,OU,OVER,Miami Marlins,Colorado Rockies,2026-03-29 23:55:00+00:00,HistoricalBasic,2026-03-29 23:59:00+00:00,True,8.0,-105.0,8.0,0.5,,WIN
2026,2026-03-30,823809,OU,OVER,Milwaukee Brewers,Tampa Bay Rays,2026-03-30 23:55:00+00:00,HistoricalBasic,2026-03-30 23:59:00+00:00,True,8.0,-110.0,8.0,0.0,,PUSH
2026,2026-03-31,824699,OU,OVER,Chicago Cubs,Los Angeles Angels,2026-03-31 23:55:00+00:00,HistoricalBasic,2026-03-31 23:59:00+00:00,True,7.0,-105.0,7.0,0.0,,PUSH
2026,2026-03-31,824212,OU,OVER,Houston Astros,Boston Red Sox,2026-03-31 23:55:00+00:00,HistoricalBasic,2026-03-31 23:59:00+00:00,True,7.5,-110.0,7.5,0.0,,PUSH
2026,2026-04-01,823806,OU,OVER,Milwaukee Brewers,Tampa Bay Rays,2026-04-01 23:55:00+00:00,HistoricalBasic,2026-04-01 23:59:00+00:00,True,7.0,-110.0,7.0,0.0,,PUSH
2026,2026-04-01,823889,OU,OVER,Miami Marlins,Chicago White Sox,2026-04-01 23:55:00+00:00,HistoricalBasic,2026-04-01 23:59:00+00:00,True,7.5,-105.0,7.5,0.0,,PUSH
2026,2026-04-01,824536,OU,OVER,Cincinnati Reds,Pittsburgh Pirates,2026-04-01 23:55:00+00:00,HistoricalBasic,2026-04-01 23:59:00+00:00,True,7.5,-105.0,7.5,0.0,,PUSH
