season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_line,selected_open_price,opening_total
2026,2026-03-26,823325,OU,OVER,San Diego Padres,Detroit Tigers,2026-03-26 12:00:00+00:00,HistoricalBasic,7.0,-115.0,7.0
2026,2026-03-28,823892,OU,OVER,Miami Marlins,Colorado Rockies,2026-03-28 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2026,2026-03-28,823488,OU,OVER,Philadelphia Phillies,Texas Rangers,2026-03-28 12:00:00+00:00,HistoricalBasic,7.5,-118.0,7.5
2026,2026-03-29,823891,OU,OVER,Miami Marlins,Colorado Rockies,2026-03-29 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2026,2026-03-30,823809,OU,OVER,Milwaukee Brewers,Tampa Bay Rays,2026-03-30 12:00:00+00:00,HistoricalBasic,8.0,-110.0,8.0
2026,2026-03-31,824699,OU,OVER,Chicago Cubs,Los Angeles Angels,2026-03-31 12:00:00+00:00,HistoricalBasic,7.0,-115.0,7.0
2026,2026-03-31,824212,OU,OVER,Houston Astros,Boston Red Sox,2026-03-31 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2026,2026-04-01,823806,OU,OVER,Milwaukee Brewers,Tampa Bay Rays,2026-04-01 12:00:00+00:00,HistoricalBasic,7.0,-115.0,7.0
2026,2026-04-01,823889,OU,OVER,Miami Marlins,Chicago White Sox,2026-04-01 12:00:00+00:00,HistoricalBasic,7.5,-118.0,7.5
2026,2026-04-01,824536,OU,OVER,Cincinnati Reds,Pittsburgh Pirates,2026-04-01 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2026,2026-04-03,824377,OU,OVER,Colorado Rockies,Philadelphia Phillies,2026-04-03 12:00:00+00:00,HistoricalBasic,10.0,-115.0,10.0
2026,2026-04-03,823406,OU,OVER,Pittsburgh Pirates,Baltimore Orioles,2026-04-03 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2026,2026-04-04,824295,OU,OVER,Detroit Tigers,St. Louis Cardinals,2026-04-04 12:00:00+00:00,HistoricalBasic,7.5,-105.0,7.5
2026,2026-04-04,823730,OU,OVER,Minnesota Twins,Tampa Bay Rays,2026-04-04 12:00:00+00:00,HistoricalBasic,7.5,-110.0,7.5
2026,2026-04-05,823729,OU,OVER,Minnesota Twins,Tampa Bay Rays,2026-04-05 12:00:00+00:00,HistoricalBasic,8.0,-115.0,8.0
2026,2026-04-05,824379,OU,OVER,Colorado Rockies,Philadelphia Phillies,2026-04-05 12:00:00+00:00,HistoricalBasic,11.0,-115.0,11.0
2026,2026-04-06,824376,OU,OVER,Colorado Rockies,Houston Astros,2026-04-06 12:00:00+00:00,HistoricalBasic,10.0,-118.0,10.0
2026,2026-04-06,822832,OU,OVER,Toronto Blue Jays,Los Angeles Dodgers,2026-04-06 12:00:00+00:00,HistoricalBasic,8.5,-120.0,8.5
2026,2026-04-07,822831,OU,OVER,Toronto Blue Jays,Los Angeles Dodgers,2026-04-07 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2026,2026-04-08,824455,OU,OVER,Cleveland Guardians,Kansas City Royals,2026-04-08 12:00:00+00:00,HistoricalBasic,7.0,-120.0,7.0
2026,2026-04-08,824779,OU,OVER,Boston Red Sox,Milwaukee Brewers,2026-04-08 12:00:00+00:00,HistoricalBasic,7.5,-105.0,7.5
