market,model_group,model,rows,scored_rows,target,brier,log_loss,accuracy_at_50,auc
ML,HOME_DOG,clv,145,145,target_clv_win,0.13301996357005966,0.4405742401099684,0.8137931034482758,0.9015238095238095
ML,HOME_FAVORITE,clv,312,312,target_clv_win,0.1211450888928081,0.4810389745260275,0.842948717948718,0.9053424478599731
ML,ROAD_DOG,clv,291,291,target_clv_win,0.11712858471883404,0.41338830930597686,0.8213058419243986,0.9131089904570567
ML,ROAD_FAVORITE,clv,166,166,target_clv_win,0.11434676983069404,0.3616304311798634,0.8554216867469879,0.8915130568356374
ML,UNKNOWN,clv,36,0,target_clv_win,,,,
ML,HOME_DOG,game,145,145,target_game_win,0.25892342117378586,0.7112424486069243,0.4482758620689655,0.47459893048128343
ML,HOME_FAVORITE,game,312,312,target_game_win,0.25614797869095857,0.7056876539026568,0.4551282051282051,0.4786514037433156
ML,ROAD_DOG,game,291,291,target_game_win,0.25849577817000235,0.7105055576319561,0.46735395189003437,0.46860621165644173
ML,ROAD_FAVORITE,game,166,166,target_game_win,0.25953509781592066,0.7132309361958454,0.463855421686747,0.47799564270152506
ML,UNKNOWN,game,36,0,target_game_win,,,,
