season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_price,selected_close_price,clv_price_delta,clv_implied_probability_delta,clv_result
2026,2026-04-06,823002,ML,HOME,Tampa Bay Rays,Chicago Cubs,2026-04-06 23:55:00+00:00,HistoricalBasic,2026-04-06 23:59:00+00:00,True,-120.0,-120.0,-220.0,0.045454545454545414,WIN
2026,2026-04-08,823403,ML,AWAY,Pittsburgh Pirates,San Diego Padres,2026-04-08 23:55:00+00:00,HistoricalBasic,2026-04-08 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2026,2026-04-08,823000,ML,HOME,Tampa Bay Rays,Chicago Cubs,2026-04-08 23:55:00+00:00,HistoricalBasic,2026-04-08 23:59:00+00:00,True,-110.0,-110.0,-5.0,0.011614401858304313,WIN
2026,2026-04-14,824292,ML,AWAY,Detroit Tigers,Kansas City Royals,2026-04-14 23:55:00+00:00,HistoricalBasic,2026-04-14 23:59:00+00:00,True,100.0,100.0,-5.0,0.012195121951219523,WIN
2026,2026-04-15,825021,ML,AWAY,Athletics,Texas Rangers,2026-04-15 23:55:00+00:00,HistoricalBasic,2026-04-15 23:59:00+00:00,True,100.0,100.0,0.0,0.0,PUSH
2026,2026-04-15,824615,ML,HOME,Chicago White Sox,Tampa Bay Rays,2026-04-15 23:55:00+00:00,HistoricalBasic,2026-04-15 23:59:00+00:00,True,-110.0,-110.0,-8.0,0.01885902876001888,WIN
2026,2026-04-16,824453,ML,HOME,Cleveland Guardians,Baltimore Orioles,2026-04-16 23:55:00+00:00,HistoricalBasic,2026-04-16 23:59:00+00:00,True,-135.0,-135.0,-15.0,0.029013539651837617,WIN
2026,2026-04-19,823475,ML,AWAY,Philadelphia Phillies,Atlanta Braves,2026-04-19 23:55:00+00:00,HistoricalBasic,2026-04-19 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2026,2026-04-20,824692,ML,HOME,Chicago Cubs,Philadelphia Phillies,2026-04-20 23:55:00+00:00,HistoricalBasic,2026-04-20 23:59:00+00:00,True,-115.0,-115.0,-10.0,0.022688598979012986,WIN
2026,2026-04-20,824450,ML,HOME,Cleveland Guardians,Houston Astros,2026-04-20 23:55:00+00:00,HistoricalBasic,2026-04-20 23:59:00+00:00,True,-120.0,-120.0,-5.0,0.010570824524312905,WIN
2026,2026-04-21,824773,ML,HOME,Boston Red Sox,New York Yankees,2026-04-21 23:55:00+00:00,HistoricalBasic,2026-04-21 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2026,2026-04-23,824689,ML,HOME,Chicago Cubs,Philadelphia Phillies,2026-04-23 23:55:00+00:00,HistoricalBasic,2026-04-23 23:59:00+00:00,True,-110.0,-110.0,-220.0,0.04761904761904767,WIN
2026,2026-04-24,822992,ML,HOME,Tampa Bay Rays,Minnesota Twins,2026-04-24 23:55:00+00:00,HistoricalBasic,2026-04-24 23:59:00+00:00,True,-135.0,-135.0,-10.0,0.01891252955082745,WIN
2026,2026-04-25,825093,ML,HOME,Arizona Diamondbacks,San Diego Padres,2026-04-25 23:55:00+00:00,HistoricalBasic,2026-04-25 23:59:00+00:00,True,-115.0,-115.0,5.0,-0.010570824524312905,LOSS
2026,2026-04-27,824609,ML,HOME,Chicago White Sox,Los Angeles Angels,2026-04-27 23:55:00+00:00,HistoricalBasic,2026-04-27 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
