season,game_date,game_pk,game_type,home_team,away_team,home_team_id,away_team_id,venue_id,home_score,away_score,total_runs,home_run_diff,pred_home_score,pred_away_score,pred_total,pred_home_run_diff,pred_margin,model_train_end_season,game_date_odds,home_team_odds,away_team_odds,sportsbook,total_line,total_line_open,total_line_move,total_line_source,total_price_over,total_price_under,total_price_over_open,total_price_under_open,home_moneyline,away_moneyline,home_moneyline_open,away_moneyline_open,historical_odds_game_id,home_score_odds,away_score_odds,pred_home_win,actual_home_win,pred_winner,actual_winner,winner_correct,total_abs_error,margin_abs_error,pred_score,actual_score,odds_source_priority,source_event_id,sportsbook_count,home_rest_days,away_rest_days,home_games_last_3_days,away_games_last_3_days,home_travel_flag,away_travel_flag,home_starter_rest_days,home_starter_recent_form_index,away_starter_rest_days,away_starter_recent_form_index,home_sp_xFIP,away_sp_xFIP,home_sp_kbb,away_sp_kbb,home_wRC_plus_vs_hand,away_wRC_plus_vs_hand,bullpen_xFIP_diff,bullpen_fatigue_diff,starter_xFIP_diff,starter_kbb_diff,offense_wRC_plus_diff,team_offense_form_diff_l7,team_offense_form_diff_l14,team_offense_form_diff_l30,starter_recent_form_diff,park_run_factor,market_vig,home_no_vig_probability,away_no_vig_probability,side,side_is_home,display_side,selected_price,opponent_price,selected_open_price,selected_implied_probability,selected_open_implied_probability,selected_no_vig_probability,actual_result,target_side_win,model_margin_for_side,model_total,rest_days_diff,games_last_3_days_diff,travel_flag_diff,starter_rest_days_diff,starter_recent_form_diff_for_side,starter_xFIP_diff_for_side,starter_kbb_diff_for_side,offense_wRC_plus_diff_for_side,team_offense_form_diff_l7_for_side,team_offense_form_diff_l14_for_side,team_offense_form_diff_l30_for_side,bullpen_xFIP_diff_for_side,bullpen_fatigue_diff_for_side,payout_per_unit,price_band,is_favorite,favorite_group,clv_result,model_probability,probability_edge,ev,rank_score,profit_units,home_injury_count,away_injury_count,home_sp_injury_count,away_sp_injury_count,home_rp_injury_count,away_rp_injury_count,home_bat_injury_count,away_bat_injury_count,home_injury_severity_sum,away_injury_severity_sum,injury_count_diff,sp_injury_count_diff,rp_injury_count_diff,bat_injury_count_diff,injury_severity_diff,injury_count_diff_for_side,sp_injury_count_diff_for_side,rp_injury_count_diff_for_side,bat_injury_count_diff_for_side,injury_severity_diff_for_side,raw_model_probability,selected_close_price,wager_price,selected_current_price,selected_current_implied_probability,selected_close_implied_probability,selected_open_no_vig_probability,market_probability_for_edge,price_band_ordinal,close_payout_per_unit,ev_open,ev_close,pregame_implied_probability_move,pregame_steam_direction,pregame_stale_price_flag,edge_x_pregame_steam,edge_x_price_band,injury_x_pregame_move,target_clv_win,target_game_win,combined_barrel_rate,bullpen_fatigue_index,temperature_f,wind_mph,humidity_pct,weather_run_index,base_prediction_oof,base_prediction_oof_status,ml_side_segment,ml_lineup_value_removed_for_side,ml_opponent_lineup_value_removed,ml_lineup_strength_diff,ml_top3_hitters_missing_flag,ml_pitcher_volatility_for_side,ml_bullpen_volatility_for_side,time_bucket,recommended_timing,ml_model_wrong,ml_market_loss,ml_overperformance,ml_model_wrong_rate_l5,ml_market_loss_rate_l5,ml_team_overperformance_l5,ml_pregame_uncertainty,ml_prediction_variance,ml_edge_x_uncertainty,ml_lineup_x_edge,ml_clv_probability,ml_game_probability,ml_model_disagreement,ml_total_uncertainty,ml_clv_ev,ml_game_ev_open,ml_blended_ev,ml_uncertainty_penalty,ml_risk_adjusted_ev,pitcher_exposure_key,selection_tier,stake_multiplier,execution_action,market,bet_odds_timestamp,close_odds_timestamp,game_start_time_utc,clv_locked_before_game,snapshot_mode,bet_snapshot_source,closing_snapshot_source,bet_price,close_price,clv_price_delta,clv_implied_probability_delta
2026,2026-04-06,823002,R,Tampa Bay Rays,Chicago Cubs,139,112,12,6,4,10,2,4.349,4.184,8.663,1.199,0.165,,2026-04-06,Tampa Bay Rays,Chicago Cubs,HistoricalBasic,8.0,7.5,0.5,close,100.0,-120.0,-125.0,105.0,-120.0,100.0,100.0,-120.0,4762523.0,6.0,4.0,True,True,Tampa Bay Rays,Tampa Bay Rays,True,1.337,1.835,"Chicago Cubs 4.2, Tampa Bay Rays 4.3","Chicago Cubs 4, Tampa Bay Rays 6",historical_basic,,,0,0,3,3,1,1,5,1.758,5,-4.992,3.288,5.002,17.87,12.312,96.561,110.053,2.4,0.233,-1.714,5.558,-13.492,31.746,-25.397,-24.445,6.75,0.782,0.045454545454545414,0.5217391304347826,0.4782608695652174,HOME,1,Tampa Bay Rays,-120.0,100.0,100.0,0.5454545454545454,0.5,0.5217391304347826,WIN,1,0.165,8.663,0.0,0.0,0.0,0.0,6.75,1.714,5.558,-13.492,31.746,-25.397,-24.445,-2.4,-0.233,1.0,DOG_100_140,1,UNDERDOG,WIN,0.5713876396787513,0.09312677011353387,0.0802633409304717,0.060357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892345495984391,-120.0,100.0,100.0,0.5,0.5454545454545454,0.4782608695652174,0.4782608695652174,-1.0,0.8333333333333334,0.14277527935750256,0.0475440060777107,0.0,0,1,0.0,-0.09312677011353387,0.0,1,1,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_DOG,0.0,0.0,0.0,0,7.57222,,open,BET_EARLY,0,0,0.4286123603212487,0.6,0.0,-0.07627564705116105,0.0,0.24490380490109678,0.0,0.0,0.9999999999930596,0.6375460970520735,0.362453902940986,0.6073577078420828,0.9999999999861191,0.2750921941041471,0.565055316456936,0.6052174899026461,0.34198136028221215,,STRICT,1.5,BET,ML,2026-04-06 12:00:00+00:00,2026-04-06 23:55:00+00:00,2026-04-06 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,100.0,-120.0,-220.0,0.045454545454545414
2026,2026-04-08,823403,R,Pittsburgh Pirates,San Diego Padres,134,135,31,2,8,10,-6,4.282,4.275,8.315,-0.052,0.007,,2026-04-08,Pittsburgh Pirates,San Diego Padres,HistoricalBasic,7.0,7.5,-0.5,close,-115.0,-105.0,-105.0,-115.0,100.0,-120.0,-115.0,-105.0,4762551.0,2.0,8.0,True,False,Pittsburgh Pirates,San Diego Padres,False,1.685,6.007,"San Diego Padres 4.3, Pittsburgh Pirates 4.3","San Diego Padres 8, Pittsburgh Pirates 2",historical_basic,,,0,0,3,3,0,0,4,-1.392,4,0.042,4.712,5.006,13.438,12.245,103.862,103.333,-1.2,-0.584,-0.294,1.193,0.529,31.747,23.81,-25.926,-1.434,0.84,0.04707884288145214,0.4782608695652174,0.5217391304347826,AWAY,0,San Diego Padres,-120.0,100.0,-105.0,0.5454545454545454,0.5121951219512195,0.5217391304347826,WIN,1,-0.007,8.315,-0.0,-0.0,-0.0,-0.0,1.434,-0.294,-1.193,-0.529,-31.747,-23.81,25.926,-1.2,-0.584,0.9523809523809523,FAV_LT_160,1,UNDERDOG,WIN,0.5409486176051093,0.05178285379145814,0.0105072486783753,0.043183,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5511857720063865,-120.0,-105.0,-105.0,0.5121951219512195,0.5454545454545454,0.4891657638136511,0.4891657638136511,1.0,0.8333333333333334,0.0561377772290228,-0.008260867723966336,0.0,0,1,0.0,0.05178285379145814,-0.0,1,1,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,ROAD_DOG,0.0,0.0,0.0,0,1.58462,,open,MID_OR_CLOSE,0,0,0.45905138239489074,0.2,0.6,0.15965589355934767,0.0,0.24832321071623054,0.0,0.0,0.9999995551980614,0.6160060623390589,0.3839934928590025,0.6323167035752331,0.9523800839581198,0.20267850266197207,0.5025591351804312,0.5889941426760985,0.29600438696963954,,BACKFILL,1.5,BET,ML,2026-04-08 12:00:00+00:00,2026-04-08 23:55:00+00:00,2026-04-08 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-105.0,-120.0,-15.0,0.03325942350332589
2026,2026-04-08,823000,R,Tampa Bay Rays,Chicago Cubs,139,112,12,2,6,8,-4,3.924,4.442,8.339,-0.681,-0.518,,2026-04-08,Tampa Bay Rays,Chicago Cubs,HistoricalBasic,8.0,8.0,0.0,close,-120.0,100.0,-115.0,-105.0,-110.0,100.0,-105.0,-115.0,4762562.0,2.0,6.0,False,False,Chicago Cubs,Chicago Cubs,True,0.339,3.482,"Chicago Cubs 4.4, Tampa Bay Rays 3.9","Chicago Cubs 6, Tampa Bay Rays 2",historical_basic,,,0,0,3,4,0,0,4,-3.975,17,5.075,4.853,3.624,12.762,18.23,94.18,115.714,1.4,0.408,1.229,-5.468,-21.534,3.174,-26.984,-28.148,-9.05,0.811,0.04707884288145214,0.5116279069767442,0.4883720930232558,HOME,1,Tampa Bay Rays,-110.0,100.0,-105.0,0.5238095238095238,0.5121951219512195,0.5116279069767442,LOSS,0,-0.518,8.339,0.0,-1.0,0.0,-13.0,-9.05,-1.229,-5.468,-21.534,3.174,-26.984,-28.148,-1.4,-0.408,0.9523809523809523,FAV_LT_160,1,UNDERDOG,WIN,0.5595157759254429,0.07035001211179176,0.0965717380038977,0.023814,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5743947199068036,-110.0,-105.0,-105.0,0.5121951219512195,0.5238095238095238,0.4891657638136511,0.4891657638136511,1.0,0.9090909090909091,0.09238794347348367,0.06816648131220915,0.0,0,1,0.0,0.07035001211179176,0.0,1,0,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_DOG,0.0,0.0,0.0,0,9.69887,,open,MID_OR_CLOSE,1,0,-0.5595157759254429,0.6,0.2,0.07612801704371719,0.0,0.24645787241599248,0.0,0.0,0.9999999999806446,0.5758817340961291,0.4241182658845155,0.670576138300508,0.9523809523431632,0.12434052847339483,0.45555669802130216,0.5641255101046698,0.2569911546528661,,STRICT,1.5,BET,ML,2026-04-08 12:00:00+00:00,2026-04-08 23:55:00+00:00,2026-04-08 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-105.0,-110.0,-5.0,0.011614401858304313
2026,2026-04-14,824292,R,Detroit Tigers,Kansas City Royals,116,118,2394,2,1,3,1,4.754,3.967,8.944,0.913,0.787,,2026-04-14,Detroit Tigers,Kansas City Royals,HistoricalBasic,8.0,7.5,0.5,close,-105.0,-115.0,100.0,-120.0,-120.0,100.0,-125.0,105.0,4762631.0,2.0,1.0,True,True,Detroit Tigers,Detroit Tigers,True,5.944,0.213,"Kansas City Royals 4.0, Detroit Tigers 4.8","Kansas City Royals 1, Detroit Tigers 2",historical_basic,,,1,1,2,2,0,1,5,2.075,5,-6.875,2.829,5.522,19.593,11.075,98.995,77.884,-0.8,-0.525,-2.693,8.518,21.111,33.889,7.936,22.222,8.95,1.098,0.04336043360433606,0.5217391304347826,0.4782608695652174,AWAY,0,Kansas City Royals,100.0,-120.0,105.0,0.5,0.4878048780487805,0.4782608695652174,LOSS,0,-0.787,8.944,-0.0,-0.0,1.0,-0.0,-8.95,-2.693,-8.518,-21.111,-33.889,-7.936,-22.222,-0.8,-0.525,1.05,DOG_100_140,0,UNDERDOG,WIN,0.523416204045193,0.055883736512725435,0.0585405101129823,0.037173,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5292702550564912,100.0,105.0,105.0,0.4878048780487805,0.5,0.4675324675324675,0.4675324675324675,-1.0,1.0,0.07300321829264556,0.04683240809038591,0.0,0,1,0.0,-0.055883736512725435,-0.0,1,0,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,ROAD_DOG,0.0,0.0,0.0,0,10.23327,,open,MID_OR_CLOSE,1,0,-0.523416204045193,0.6,0.4,-0.1682304508323906,0.0,0.24945168138811388,0.0,0.0,0.8858734638650841,0.5928290996707436,0.29304436419434055,0.5424960455824545,0.8160406009234226,0.2152996543250244,0.45559603296438367,0.6473775703714046,0.2949426528913331,,BACKFILL,1.5,BET,ML,2026-04-14 12:00:00+00:00,2026-04-14 23:55:00+00:00,2026-04-14 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,105.0,100.0,-5.0,0.012195121951219523
2026,2026-04-15,825021,R,Athletics,Texas Rangers,133,140,2529,6,5,11,1,4.585,4.643,9.321,-0.201,-0.058,,2026-04-15,Athletics,Texas Rangers,HistoricalBasic,9.5,9.5,0.0,close,-118.0,-102.0,-118.0,-102.0,-120.0,100.0,-120.0,100.0,4762654.0,6.0,5.0,False,True,Texas Rangers,Athletics,False,1.679,1.058,"Texas Rangers 4.6, Athletics 4.6","Texas Rangers 5, Athletics 6",historical_basic,,,0,0,3,3,0,0,4,-1.192,4,2.058,4.826,4.938,13.775,11.885,100.794,100.847,-0.8,0.467,-0.112,1.89,-0.053,-22.222,4.762,5.926,-3.25,1.049,0.045454545454545414,0.5217391304347826,0.4782608695652174,AWAY,0,Texas Rangers,100.0,-120.0,100.0,0.5,0.5,0.4782608695652174,LOSS,0,0.058,9.321,-0.0,-0.0,-0.0,-0.0,3.25,-0.112,-1.89,0.053,22.222,-4.762,-5.926,-0.8,0.467,1.0,DOG_100_140,0,UNDERDOG,PUSH,0.5246872517845729,0.046426382219355466,0.0617181294614321,0.064005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5308590647307161,100.0,100.0,100.0,0.5,0.5,0.4782608695652174,0.4782608695652174,-1.0,1.0,0.049374503569145745,0.049374503569145745,0.0,0,1,0.0,-0.046426382219355466,-0.0,0,0,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,ROAD_DOG,0.0,0.0,0.0,0,3.3648000000000002,,open,MID_OR_CLOSE,1,0,-0.5246872517845729,0.2,0.2,-0.03706254339363994,0.0,0.2493905395993251,0.0,0.0,0.9342084170871108,0.640999010127679,0.29320940695943176,0.5425999465587569,0.8684168341742216,0.28199802025535803,0.5165655458229035,0.647310034736808,0.33437806141046184,,BACKFILL,1.5,BET,ML,2026-04-15 12:00:00+00:00,2026-04-15 23:55:00+00:00,2026-04-15 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,100.0,100.0,0.0,0.0
2026,2026-04-15,824615,R,Chicago White Sox,Tampa Bay Rays,145,139,4,3,8,11,-5,4.407,4.559,8.918,0.317,-0.152,,2026-04-15,Chicago White Sox,Tampa Bay Rays,HistoricalBasic,8.5,7.5,1.0,close,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-102.0,-118.0,4762652.0,3.0,8.0,False,False,Tampa Bay Rays,Tampa Bay Rays,True,2.082,4.848,"Tampa Bay Rays 4.6, Chicago White Sox 4.4","Tampa Bay Rays 8, Chicago White Sox 3",historical_basic,,,0,0,2,2,0,0,6,-3.175,7,1.575,5.406,4.5,10.018,14.0,74.974,101.27,-1.0,0.7,0.906,-3.982,-26.296,-47.619,-34.921,-12.593,-4.75,0.927,0.04623489871922981,0.5,0.5,HOME,1,Chicago White Sox,-110.0,-110.0,-102.0,0.5238095238095238,0.504950495049505,0.5,LOSS,0,-0.152,8.918,0.0,0.0,0.0,-1.0,-4.75,-0.906,-3.982,-26.296,-47.619,-34.921,-12.593,1.0,-0.7,0.9803921568627451,FAV_LT_160,1,UNDERDOG,WIN,0.5360193205610783,0.05338344627734848,0.0405006513389367,0.026276,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5450241507013478,-110.0,-102.0,-102.0,0.504950495049505,0.5238095238095238,0.4826358742837298,0.4826358742837298,1.0,0.9090909090909091,0.061528458366056915,0.023309611980240286,0.0,0,1,0.0,0.05338344627734848,0.0,1,0,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_DOG,0.0,0.0,0.0,0,5.22638,,open,MID_OR_CLOSE,1,0,-0.5360193205610783,0.6,0.2,-0.02598909718448945,0.0,0.2487026085463183,0.0,0.0,0.9999999726670606,0.5792286314388296,0.420771341228231,0.6694739497745493,0.9803921027328063,0.14709983873179988,0.4804167443322025,0.5648419326465429,0.27135952234436134,,BACKFILL,1.5,BET,ML,2026-04-15 12:00:00+00:00,2026-04-15 23:55:00+00:00,2026-04-15 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-102.0,-110.0,-8.0,0.01885902876001888
2026,2026-04-16,824453,R,Cleveland Guardians,Baltimore Orioles,114,110,5,4,2,6,2,4.533,3.93,8.671,0.405,0.603,,2026-04-16,Cleveland Guardians,Baltimore Orioles,HistoricalBasic,8.0,8.0,0.0,close,-105.0,-115.0,-110.0,-110.0,-135.0,115.0,-120.0,100.0,4762664.0,4.0,2.0,True,True,Cleveland Guardians,Cleveland Guardians,True,2.671,1.397,"Baltimore Orioles 3.9, Cleveland Guardians 4.5","Baltimore Orioles 2, Cleveland Guardians 4",historical_basic,,,0,0,3,3,1,1,4,3.758,5,-0.842,2.4,4.26,20.364,13.025,107.937,105.079,0.8,-0.584,-1.86,7.339,2.858,6.35,-9.524,8.889,4.6,0.858,0.045454545454545414,0.552594002855783,0.447405997144217,HOME,1,Cleveland Guardians,-135.0,115.0,-120.0,0.574468085106383,0.5454545454545454,0.552594002855783,WIN,1,0.603,8.671,0.0,0.0,0.0,-1.0,4.6,1.86,7.339,2.858,6.35,-9.524,8.889,-0.8,0.584,0.8333333333333334,FAV_LT_160,1,FAVORITE,WIN,0.584144662696638,0.06240553226185541,0.0534629234602772,0.011513,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6051808283707976,-135.0,-120.0,-120.0,0.5454545454545454,0.574468085106383,0.5217391304347826,0.5217391304347826,1.0,0.7407407407407407,0.07093188161050301,0.016844412842295764,0.0,0,1,0.0,0.06240553226185541,0.0,1,1,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_FAVORITE,0.0,0.0,0.0,0,5.54456,,open,MID_OR_CLOSE,0,0,0.415855337303362,0.6,0.6,-0.08804880584217424,0.0,0.24291967573966902,0.0,0.0,0.9735620428673879,0.5515607186799467,0.4220013241874412,0.6649209999271102,0.7848637452568779,0.011194650913235682,0.3206622886506926,0.5678013500473784,0.1820724804051454,,STRICT,1.5,BET,ML,2026-04-16 12:00:00+00:00,2026-04-16 23:55:00+00:00,2026-04-16 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-120.0,-135.0,-15.0,0.029013539651837617
2026,2026-04-19,823475,R,Philadelphia Phillies,Atlanta Braves,143,144,2681,2,4,6,-2,4.184,5.193,9.046,-1.426,-1.009,,2026-04-19,Philadelphia Phillies,Atlanta Braves,HistoricalBasic,8.0,8.5,-0.5,close,-110.0,-110.0,-105.0,-115.0,-105.0,-115.0,-120.0,100.0,4762711.0,2.0,4.0,False,False,Atlanta Braves,Atlanta Braves,True,3.046,0.991,"Atlanta Braves 5.2, Philadelphia Phillies 4.2","Atlanta Braves 4, Philadelphia Phillies 2",historical_basic,,,0,0,2,2,0,0,12,1.192,5,0.842,3.834,4.222,15.543,13.415,82.063,122.328,3.7,1.925,-0.388,2.128,-40.265,-44.445,-42.857,-37.037,0.35,1.042,0.045454545454545414,0.4891657638136511,0.5108342361863488,AWAY,0,Atlanta Braves,-115.0,-105.0,100.0,0.5348837209302325,0.5,0.5108342361863488,WIN,1,1.009,9.046,-0.0,-0.0,-0.0,-7.0,-0.35,-0.388,-2.128,40.265,44.445,42.857,37.037,3.7,1.925,1.0,DOG_100_140,1,UNDERDOG,WIN,0.5533465068806691,0.0750856373154517,0.0594510758624333,0.051669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5666831336008364,-115.0,100.0,100.0,0.5,0.5348837209302325,0.4782608695652174,0.4782608695652174,-1.0,0.8695652173913043,0.10669301376133822,0.03451738242907704,0.0,0,1,0.0,-0.0750856373154517,-0.0,1,1,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,ROAD_DOG,0.0,0.0,0.0,0,0.57092,,open,MID_OR_CLOSE,0,0,0.4466534931193309,0.0,0.6,0.2618125330926732,0.0,0.2471541502036307,0.0,0.0,0.9999998558171678,0.6246097993033601,0.37539005651380764,0.6225442067174384,0.9999997116343355,0.24921959860672027,0.5495316438177664,0.595346265633665,0.32716161199443655,,STRICT,1.5,BET,ML,2026-04-19 12:00:00+00:00,2026-04-19 23:55:00+00:00,2026-04-19 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,100.0,-115.0,-215.0,0.03488372093023251
2026,2026-04-20,824692,R,Chicago Cubs,Philadelphia Phillies,112,143,17,5,1,6,4,4.744,3.738,8.668,1.095,1.006,,2026-04-20,Chicago Cubs,Philadelphia Phillies,HistoricalBasic,7.5,8.0,-0.5,close,-120.0,100.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,4762717.0,5.0,1.0,True,True,Chicago Cubs,Chicago Cubs,True,2.668,2.994,"Philadelphia Phillies 3.7, Chicago Cubs 4.7","Philadelphia Phillies 1, Chicago Cubs 5",historical_basic,,,0,0,3,3,0,1,11,3.958,5,-0.958,3.594,4.81,17.983,14.045,138.148,75.503,-4.6,-1.05,-1.216,3.938,62.645,65.635,61.904,52.593,4.916,0.882,0.04707884288145214,0.5108342361863488,0.4891657638136511,HOME,1,Chicago Cubs,-115.0,-105.0,-105.0,0.5348837209302325,0.5121951219512195,0.5108342361863488,WIN,1,1.006,8.668,0.0,0.0,-1.0,6.0,4.916,1.216,3.938,62.645,65.635,61.904,52.593,4.6,1.05,0.9523809523809523,FAV_LT_160,1,UNDERDOG,WIN,0.5445418021566648,0.05537603834301369,0.038874863735684,0.016873,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555677252695831,-115.0,-105.0,-105.0,0.5121951219512195,0.5348837209302325,0.4891657638136511,0.4891657638136511,1.0,0.8695652173913043,0.06315304230586938,0.018056412727677662,0.0,0,1,0.0,0.05537603834301369,0.0,1,1,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_DOG,0.0,0.0,0.0,0,5.4991200000000005,,open,MID_OR_CLOSE,0,0,0.4554581978433352,0.2,0.0,0.4889234046869445,0.0,0.24801602786063653,0.0,0.0,0.9999995009157903,0.5583752385397684,0.4416242623760218,0.6896402902366583,0.9523799779784476,0.09016118000621454,0.4350486991951078,0.551733811346172,0.24003107692811115,,BACKFILL,1.5,BET,ML,2026-04-20 12:00:00+00:00,2026-04-20 23:55:00+00:00,2026-04-20 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-105.0,-115.0,-10.0,0.022688598979012986
2026,2026-04-20,824450,R,Cleveland Guardians,Houston Astros,114,117,5,2,9,11,-7,4.882,4.291,8.925,0.422,0.591,,2026-04-20,Cleveland Guardians,Houston Astros,HistoricalBasic,7.5,8.0,-0.5,close,100.0,-120.0,-120.0,100.0,-120.0,100.0,-115.0,-105.0,4762713.0,2.0,9.0,True,False,Cleveland Guardians,Houston Astros,False,2.075,7.591,"Houston Astros 4.3, Cleveland Guardians 4.9","Houston Astros 9, Cleveland Guardians 2",historical_basic,,,0,0,3,3,0,1,4,-3.408,4,0.292,4.922,5.454,12.155,10.715,111.534,103.122,-1.6,-1.283,-0.532,1.44,8.412,28.571,12.699,-2.223,-3.7,0.873,0.04707884288145214,0.5217391304347826,0.4782608695652174,HOME,1,Cleveland Guardians,-120.0,100.0,-115.0,0.5454545454545454,0.5348837209302325,0.5217391304347826,LOSS,0,0.591,8.925,0.0,0.0,-1.0,0.0,-3.7,0.532,1.44,8.412,28.571,12.699,-2.223,1.6,1.283,0.8695652173913043,FAV_LT_160,1,FAVORITE,WIN,0.5794646796779463,0.06863044349159753,0.0987732242619602,0.00802,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993308495974329,-120.0,-115.0,-115.0,0.5348837209302325,0.5454545454545454,0.5108342361863488,0.5108342361863488,1.0,0.8333333333333334,0.08334700983268228,0.06235191274290164,0.0,0,1,0.0,0.06863044349159753,0.0,1,0,,,,,,,False,UNKNOWN_OR_IN_SAMPLE,HOME_FAVORITE,0.0,0.0,0.0,0,3.9438,,open,MID_OR_CLOSE,1,0,-0.5794646796779463,0.6,0.4,0.03545659085396287,0.0,0.24368536468368138,0.0,0.0,0.7798732434752349,0.5422807884866571,0.23759245498857784,0.48127781967225924,0.4580238899754392,0.013829300214184936,0.19150713611868664,0.6871694172130315,0.1315978471188146,,STRICT,1.5,BET,ML,2026-04-20 12:00:00+00:00,2026-04-20 23:55:00+00:00,2026-04-20 23:59:00+00:00,True,historical_backtest,HistoricalBasic,HistoricalBasic,-115.0,-120.0,-5.0,0.010570824524312905
