market,model_group,model,rows,scored_rows,target,brier,log_loss,accuracy_at_50,auc
ML,HOME_DOG,clv,874,874,target_clv_win,0.14567514988464456,0.462281868143314,0.7906178489702517,0.885228421932023
ML,HOME_FAVORITE,clv,1555,1555,target_clv_win,0.136445336858548,0.4257405171453017,0.8,0.8944714406649736
ML,ROAD_DOG,clv,1473,1473,target_clv_win,0.13236328987730972,0.4192737682072113,0.8167006109979633,0.8737395819100969
ML,ROAD_FAVORITE,clv,956,956,target_clv_win,0.11327945074578594,0.35609002416466795,0.8378661087866108,0.9125547565914539
ML,HOME_DOG,game,874,874,target_game_win,0.2529960293552732,0.699275451761058,0.4965675057208238,0.5344385026737968
ML,HOME_FAVORITE,game,1555,1555,target_game_win,0.24674243162589662,0.6865081157581439,0.5376205787781351,0.5626862843938927
ML,ROAD_DOG,game,1473,1473,target_game_win,0.24722363488032828,0.6875122632382509,0.5369993211133741,0.5608101218015296
ML,ROAD_FAVORITE,game,956,956,target_game_win,0.2525350347666427,0.6982012268815766,0.5031380753138075,0.5366675120015305
