segment,bets,wins,losses,pushes,win_rate,profit_units,roi,clv_wins,clv_losses,clv_win_rate,side,total_bucket_group,shrunk_clv_win_rate,shrunk_roi,allowed_segment
OVER_HIGH,7,5,2,0,0.7142857142857143,2.2028985507246377,0.3146997929606625,2,2,0.5,OVER,HIGH,0.5,0.05953779866823345,False
OVER_LOW,272,160,97,15,0.622568093385214,39.381721315530726,0.14478574013062767,83,15,0.8469387755102041,OVER,LOW,0.765625,0.1304030507136779,True
OVER_NORMAL,98,55,36,7,0.6043956043956044,10.798643938340183,0.11019024426877737,36,8,0.8181818181818182,OVER,NORMAL,0.6891891891891891,0.08436440576828268,True
UNDER_HIGH,80,56,22,2,0.717948717948718,27.506924491437772,0.34383655614297215,31,8,0.7948717948717948,UNDER,HIGH,0.6666666666666666,0.25006294992216155,True
UNDER_NORMAL,8,7,1,0,0.875,5.077310370788632,0.634663796348579,4,0,1.0,UNDER,NORMAL,0.5588235294117647,0.13361343081022714,False
