season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_line,selected_open_price,opening_total
2024,2024-03-28,746821,OU,OVER,Chicago White Sox,Detroit Tigers,2024-03-28 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-03-29,745682,OU,OVER,Oakland Athletics,Cleveland Guardians,2024-03-29 12:00:00+00:00,HistoricalBasic,7.5,-110.0,7.5
2024,2024-04-01,745842,OU,OVER,New York Mets,Detroit Tigers,2024-04-01 12:00:00+00:00,HistoricalBasic,7.5,-105.0,7.5
2024,2024-04-01,745600,OU,OVER,Philadelphia Phillies,Cincinnati Reds,2024-04-01 12:00:00+00:00,HistoricalBasic,8.0,-105.0,8.0
2024,2024-04-01,744875,OU,OVER,Washington Nationals,Pittsburgh Pirates,2024-04-01 12:00:00+00:00,HistoricalBasic,8.5,-110.0,8.5
2024,2024-04-02,745680,OU,OVER,Oakland Athletics,Boston Red Sox,2024-04-02 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-04-08,745432,OU,OVER,San Diego Padres,Chicago Cubs,2024-04-08 12:00:00+00:00,HistoricalBasic,7.5,-114.0,7.5
2024,2024-04-09,745433,OU,OVER,San Diego Padres,Chicago Cubs,2024-04-09 12:00:00+00:00,HistoricalBasic,8.0,-110.0,8.0
2024,2024-04-15,745677,OU,OVER,Oakland Athletics,St. Louis Cardinals,2024-04-15 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2024,2024-04-19,746650,OU,OVER,Cleveland Guardians,Oakland Athletics,2024-04-19 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-04-20,745590,OU,OVER,Philadelphia Phillies,Chicago White Sox,2024-04-20 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-04-21,745759,OU,OVER,New York Yankees,Tampa Bay Rays,2024-04-21 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-04-25,746646,OU,OVER,Cleveland Guardians,Boston Red Sox,2024-04-25 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2024,2024-04-26,746243,OU,OVER,Los Angeles Angels,Minnesota Twins,2024-04-26 12:00:00+00:00,HistoricalBasic,8.5,-115.0,8.5
2024,2024-04-29,747211,OU,UNDER,Arizona Diamondbacks,Los Angeles Dodgers,2024-04-29 12:00:00+00:00,HistoricalBasic,10.0,-110.0,10.0
2024,2024-05-03,746890,OU,OVER,Chicago Cubs,Milwaukee Brewers,2024-05-03 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-05-04,745666,OU,OVER,Oakland Athletics,Miami Marlins,2024-05-04 12:00:00+00:00,HistoricalBasic,7.0,-122.0,7.0
2024,2024-05-11,745505,OU,OVER,Pittsburgh Pirates,Chicago Cubs,2024-05-11 12:00:00+00:00,HistoricalBasic,7.5,-122.0,7.5
2024,2024-05-13,746233,OU,OVER,Los Angeles Angels,St. Louis Cardinals,2024-05-13 12:00:00+00:00,HistoricalBasic,8.5,-115.0,8.5
