segment,bets,wins,losses,pushes,win_rate,profit_units,roi,clv_wins,clv_losses,clv_win_rate,ml_side_segment,price_band,shrunk_clv_win_rate,shrunk_roi,stake_multiplier,allowed_segment
HOME_DOG_DOG_100_140,124,73,51,0,0.5887096774193549,28.580000000000005,0.23048387096774198,124,0,1.0,HOME_DOG,DOG_100_140,0.9025974025974026,0.18558441558441563,1.5,True
HOME_DOG_DOG_140_PLUS,16,6,10,0,0.375,-0.29000000000000004,-0.018125000000000002,16,0,1.0,HOME_DOG,DOG_140_PLUS,0.6739130434782609,-0.006304347826086958,1.4302173913043479,False
HOME_DOG_FAV_LT_160,27,18,9,0,0.6666666666666666,8.245744856104253,0.3053979576334908,27,0,1.0,HOME_DOG,FAV_LT_160,0.7368421052631579,0.14466219045796935,1.5,True
HOME_FAVORITE_FAV_LT_160,37,25,12,0,0.6756756756756757,8.727146519189128,0.2358688248429494,37,0,1.0,HOME_FAVORITE,FAV_LT_160,0.7761194029850746,0.13025591819685267,1.5,True
ROAD_DOG_DOG_100_140,99,58,41,0,0.5858585858585859,22.490000000000002,0.2271717171717172,99,0,1.0,ROAD_DOG,DOG_100_140,0.8837209302325582,0.17434108527131784,1.5,True
ROAD_DOG_DOG_140_PLUS,24,15,9,0,0.625,17.619999999999997,0.7341666666666665,24,0,1.0,ROAD_DOG,DOG_140_PLUS,0.7222222222222222,0.32629629629629625,1.5,True
ROAD_DOG_FAV_LT_160,26,12,14,0,0.46153846153846156,-2.514684035392599,-0.0967186167458692,26,0,1.0,ROAD_DOG,FAV_LT_160,0.7321428571428571,-0.04490507206058213,1.4119032111256604,False
ROAD_FAVORITE_FAV_LT_160,30,16,14,0,0.5333333333333333,-0.3897809739942306,-0.01299269913314102,30,0,1.0,ROAD_FAVORITE,FAV_LT_160,0.75,-0.00649634956657051,1.5,False
