market,model_group,training_rows,target,selected_feature_count,selected_features,training_hash,sklearn_version
OU,OVER,2769,expected_close_delta_for_side + target_game_win,20,under_open_implied_probability|over_open_implied_probability|open_vig|abs_model_minus_open|model_minus_open|opening_total|opening_total_bucket|home_sp_xFIP|away_starter_recent_form_index|home_sp_kbb|starter_xFIP_diff|starter_kbb_diff|team_offense_form_diff_l7|team_offense_form_diff_l14|home_starter_recent_form_index|bullpen_fatigue_diff|starter_recent_form_diff|away_game_total_l7|bullpen_fatigue_index|away_bullpen_fatigue_rate_l3d,3bc722ae4cb16de078e354adb93114f336a9f9d1b5bc36d310ccdaa1c32d4d34,1.8.0
OU,UNDER,413,expected_close_delta_for_side + target_game_win,20,under_open_implied_probability|over_open_implied_probability|open_vig|home_bullpen_fatigue_rate_l3d|bullpen_fatigue_index|opening_total|opening_total_bucket|away_starter_recent_form_index|home_wRC_plus_vs_hand|home_bullpen_ip_proxy_l3d|model_total|park_run_factor|starter_recent_form_diff|abs_model_minus_open|model_minus_open|team_offense_form_diff_l7|bullpen_fatigue_diff|away_sp_xFIP|away_bullpen_fatigue_rate_l3d|bullpen_xFIP_diff,dc78db1cfc14cdf63bc8555e6acec43598fea1c41267c5826d2d70d55ab5d79d,1.8.0
