market,model_group,training_rows,target,selected_feature_count,selected_features,training_hash,sklearn_version
OU,OVER,3820,expected_close_delta_for_side + target_game_win,20,over_open_implied_probability|under_open_implied_probability|abs_model_minus_open|model_minus_open|opening_total|opening_total_bucket|away_game_total_l7|home_sp_xFIP|away_starter_recent_form_index|home_sp_kbb|away_sp_kbb|home_starter_recent_form_index|away_sp_xFIP|bullpen_fatigue_diff|combined_barrel_rate|home_game_total_l7|open_vig|away_bullpen_fatigue_rate_l3d|home_wRC_plus_vs_hand|bullpen_xFIP_diff,a2110473a83bc0ca88ea2f3f07710e72a03281a5e997b58639d772a24306dfce,1.8.0
OU,UNDER,467,expected_close_delta_for_side + target_game_win,20,under_open_implied_probability|over_open_implied_probability|open_vig|home_bullpen_fatigue_rate_l3d|bullpen_fatigue_index|away_starter_recent_form_index|abs_model_minus_open|model_minus_open|opening_total|opening_total_bucket|starter_recent_form_diff|bullpen_xFIP_diff|home_bullpen_ip_proxy_l3d|home_wRC_plus_vs_hand|park_run_factor|bullpen_fatigue_diff|team_offense_form_diff_l7|model_total|away_sp_xFIP|away_bullpen_fatigue_rate_l3d,285f610511dbb7c7ae860b9ba436ac19096f5bcc0b8dd87d4781dd40bb727c61,1.8.0
