season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_line,selected_open_price,opening_total
2025,2025-03-27,778555,OU,OVER,Washington Nationals,Philadelphia Phillies,2025-03-27 12:00:00+00:00,HistoricalBasic,7.0,-120.0,7.0
2025,2025-03-27,778551,OU,OVER,St. Louis Cardinals,Minnesota Twins,2025-03-27 12:00:00+00:00,HistoricalBasic,7.0,-125.0,7.0
2025,2025-03-27,778561,OU,OVER,Cincinnati Reds,San Francisco Giants,2025-03-27 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-03-29,778537,OU,OVER,Tampa Bay Rays,Colorado Rockies,2025-03-29 12:00:00+00:00,HistoricalBasic,7.5,-118.0,7.5
2025,2025-04-01,778498,OU,OVER,Cincinnati Reds,Texas Rangers,2025-04-01 12:00:00+00:00,HistoricalBasic,8.5,-120.0,8.5
2025,2025-04-02,778478,OU,OVER,Toronto Blue Jays,Washington Nationals,2025-04-02 12:00:00+00:00,HistoricalBasic,8.0,-130.0,8.0
2025,2025-04-02,778476,OU,OVER,San Diego Padres,Cleveland Guardians,2025-04-02 12:00:00+00:00,HistoricalBasic,7.5,-118.0,7.5
2025,2025-04-04,778458,OU,OVER,Detroit Tigers,Chicago White Sox,2025-04-04 12:00:00+00:00,HistoricalBasic,7.0,-115.0,7.0
2025,2025-04-05,778442,OU,OVER,Colorado Rockies,Athletics,2025-04-05 12:00:00+00:00,HistoricalBasic,9.0,-118.0,9.0
2025,2025-04-05,778445,OU,OVER,Detroit Tigers,Chicago White Sox,2025-04-05 12:00:00+00:00,HistoricalBasic,7.5,100.0,7.5
2025,2025-04-08,778408,OU,OVER,Pittsburgh Pirates,St. Louis Cardinals,2025-04-08 12:00:00+00:00,HistoricalBasic,6.5,-120.0,6.5
2025,2025-04-08,778401,OU,OVER,Chicago Cubs,Texas Rangers,2025-04-08 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-09,778399,OU,OVER,Tampa Bay Rays,Los Angeles Angels,2025-04-09 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-09,778389,OU,OVER,Pittsburgh Pirates,St. Louis Cardinals,2025-04-09 12:00:00+00:00,HistoricalBasic,8.0,-105.0,8.0
2025,2025-04-11,778363,OU,OVER,Minnesota Twins,Detroit Tigers,2025-04-11 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-04-11,778375,OU,OVER,Cleveland Guardians,Kansas City Royals,2025-04-11 12:00:00+00:00,HistoricalBasic,7.0,-118.0,7.0
2025,2025-04-12,778354,OU,OVER,Miami Marlins,Washington Nationals,2025-04-12 12:00:00+00:00,HistoricalBasic,7.5,-130.0,7.5
2025,2025-04-12,778347,OU,OVER,St. Louis Cardinals,Philadelphia Phillies,2025-04-12 12:00:00+00:00,HistoricalBasic,7.5,-125.0,7.5
2025,2025-04-13,778337,OU,OVER,Miami Marlins,Washington Nationals,2025-04-13 12:00:00+00:00,HistoricalBasic,7.5,-130.0,7.5
2025,2025-04-13,778332,OU,OVER,Arizona Diamondbacks,Milwaukee Brewers,2025-04-13 12:00:00+00:00,HistoricalBasic,8.0,-118.0,8.0
2025,2025-04-15,778310,OU,OVER,Milwaukee Brewers,Detroit Tigers,2025-04-15 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-16,778288,OU,OVER,San Diego Padres,Chicago Cubs,2025-04-16 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-04-17,778291,OU,OVER,Miami Marlins,Arizona Diamondbacks,2025-04-17 12:00:00+00:00,HistoricalBasic,8.5,-110.0,8.5
2025,2025-04-18,778273,OU,OVER,Toronto Blue Jays,Seattle Mariners,2025-04-18 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-04-18,778261,OU,OVER,Milwaukee Brewers,Athletics,2025-04-18 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-19,778252,OU,UNDER,Philadelphia Phillies,Miami Marlins,2025-04-19 12:00:00+00:00,HistoricalBasic,10.0,-105.0,10.0
2025,2025-04-20,778248,OU,OVER,Philadelphia Phillies,Miami Marlins,2025-04-20 12:00:00+00:00,HistoricalBasic,8.5,-115.0,8.5
2025,2025-04-23,778198,OU,OVER,San Francisco Giants,Milwaukee Brewers,2025-04-23 12:00:00+00:00,HistoricalBasic,6.5,-130.0,6.5
2025,2025-04-24,778188,OU,OVER,Arizona Diamondbacks,Tampa Bay Rays,2025-04-24 12:00:00+00:00,HistoricalBasic,8.0,-110.0,8.0
2025,2025-04-25,778181,OU,OVER,Colorado Rockies,Cincinnati Reds,2025-04-25 12:00:00+00:00,HistoricalBasic,9.0,-115.0,9.0
2025,2025-04-26,778179,OU,OVER,Cleveland Guardians,Boston Red Sox,2025-04-26 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-04-26,778154,OU,OVER,Seattle Mariners,Miami Marlins,2025-04-26 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-27,778144,OU,OVER,Minnesota Twins,Los Angeles Angels,2025-04-27 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-04-29,778125,OU,OVER,Chicago White Sox,Milwaukee Brewers,2025-04-29 12:00:00+00:00,HistoricalBasic,7.5,-130.0,7.5
2025,2025-04-29,778121,OU,OVER,Seattle Mariners,Los Angeles Angels,2025-04-29 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-05-02,778085,OU,OVER,Los Angeles Angels,Detroit Tigers,2025-05-02 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-05-09,777997,OU,OVER,Cleveland Guardians,Philadelphia Phillies,2025-05-09 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-05-10,777975,OU,OVER,Arizona Diamondbacks,Los Angeles Dodgers,2025-05-10 12:00:00+00:00,HistoricalBasic,9.0,-120.0,9.0
2025,2025-05-10,777974,OU,OVER,Minnesota Twins,San Francisco Giants,2025-05-10 12:00:00+00:00,HistoricalBasic,7.0,-115.0,7.0
2025,2025-05-11,777971,OU,OVER,Cleveland Guardians,Philadelphia Phillies,2025-05-11 12:00:00+00:00,HistoricalBasic,7.5,-120.0,7.5
2025,2025-05-14,777922,OU,OVER,Philadelphia Phillies,St. Louis Cardinals,2025-05-14 12:00:00+00:00,HistoricalBasic,7.5,-115.0,7.5
2025,2025-05-17,777887,OU,OVER,Arizona Diamondbacks,Colorado Rockies,2025-05-17 12:00:00+00:00,HistoricalBasic,9.0,-115.0,9.0
