segment,bets,wins,losses,pushes,win_rate,profit_units,roi,clv_wins,clv_losses,clv_win_rate,side,total_bucket_group,shrunk_clv_win_rate,shrunk_roi,allowed_segment
OVER_HIGH,14,8,5,1,0.6153846153846154,1.862774906253167,0.13305535044665479,5,2,0.7142857142857143,OVER,HIGH,0.5405405405405406,0.04233579332393562,False
OVER_LOW,397,227,156,14,0.5926892950391645,40.11893357107146,0.10105524828985255,127,28,0.8193548387096774,OVER,LOW,0.7675675675675676,0.09395534794161935,True
OVER_NORMAL,106,58,45,3,0.5631067961165048,4.580081709254692,0.04320831801183672,44,9,0.8301886792452831,OVER,NORMAL,0.7108433734939759,0.03367707139157862,True
UNDER_HIGH,98,73,23,2,0.7604166666666666,41.25020574280827,0.4209204667633497,34,9,0.7906976744186046,UNDER,HIGH,0.6712328767123288,0.3222672323656896,True
UNDER_NORMAL,11,9,2,0,0.8181818181818182,5.862158855637116,0.5329235323306469,7,0,1.0,UNDER,NORMAL,0.5945945945945946,0.1429794842838321,False
