season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_price,selected_close_price,clv_price_delta,clv_implied_probability_delta,clv_result
2025,2025-03-27,778553,ML,AWAY,Texas Rangers,Boston Red Sox,2025-03-27 23:55:00+00:00,HistoricalBasic,2025-03-27 23:59:00+00:00,True,-125.0,-125.0,-245.0,0.10101010101010105,WIN
2025,2025-03-27,778561,ML,AWAY,Cincinnati Reds,San Francisco Giants,2025-03-27 23:55:00+00:00,HistoricalBasic,2025-03-27 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-03-27,778554,ML,AWAY,Chicago White Sox,Los Angeles Angels,2025-03-27 23:55:00+00:00,HistoricalBasic,2025-03-27 23:59:00+00:00,True,-160.0,-160.0,-25.0,0.04091653027823239,WIN
2025,2025-03-30,778515,ML,AWAY,Arizona Diamondbacks,Chicago Cubs,2025-03-30 23:55:00+00:00,HistoricalBasic,2025-03-30 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-03-30,778519,ML,HOME,Miami Marlins,Pittsburgh Pirates,2025-03-30 23:55:00+00:00,HistoricalBasic,2025-03-30 23:59:00+00:00,True,-125.0,-125.0,-225.0,0.05555555555555558,WIN
2025,2025-04-04,778455,ML,AWAY,Kansas City Royals,Baltimore Orioles,2025-04-04 23:55:00+00:00,HistoricalBasic,2025-04-04 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-04-06,778425,ML,HOME,Los Angeles Angels,Cleveland Guardians,2025-04-06 23:55:00+00:00,HistoricalBasic,2025-04-06 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-04-08,778403,ML,HOME,Detroit Tigers,New York Yankees,2025-04-08 23:55:00+00:00,HistoricalBasic,2025-04-08 23:59:00+00:00,True,-170.0,-170.0,-288.0,0.1709140332993544,WIN
2025,2025-04-08,778396,ML,AWAY,Arizona Diamondbacks,Baltimore Orioles,2025-04-08 23:55:00+00:00,HistoricalBasic,2025-04-08 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-04-13,778338,ML,AWAY,Chicago White Sox,Boston Red Sox,2025-04-13 23:55:00+00:00,HistoricalBasic,2025-04-13 23:59:00+00:00,True,-250.0,-250.0,-592.0,0.4880413703943116,WIN
2025,2025-04-14,778322,ML,AWAY,Toronto Blue Jays,Atlanta Braves,2025-04-14 23:55:00+00:00,HistoricalBasic,2025-04-14 23:59:00+00:00,True,-115.0,-115.0,-10.0,0.022688598979012986,WIN
2025,2025-04-15,778310,ML,HOME,Milwaukee Brewers,Detroit Tigers,2025-04-15 23:55:00+00:00,HistoricalBasic,2025-04-15 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-04-19,778262,ML,HOME,Baltimore Orioles,Cincinnati Reds,2025-04-19 23:55:00+00:00,HistoricalBasic,2025-04-19 23:59:00+00:00,True,-125.0,-125.0,-235.0,0.07936507936507942,WIN
2025,2025-04-19,778257,ML,HOME,Chicago Cubs,Arizona Diamondbacks,2025-04-19 23:55:00+00:00,HistoricalBasic,2025-04-19 23:59:00+00:00,True,-130.0,-130.0,-230.0,0.06521739130434778,WIN
2025,2025-04-26,778168,ML,AWAY,Detroit Tigers,Baltimore Orioles,2025-04-26 23:55:00+00:00,HistoricalBasic,2025-04-26 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-04-26,778179,ML,AWAY,Cleveland Guardians,Boston Red Sox,2025-04-26 23:55:00+00:00,HistoricalBasic,2025-04-26 23:59:00+00:00,True,-120.0,-120.0,-10.0,0.021645021645021578,WIN
2025,2025-04-27,778157,ML,AWAY,Cleveland Guardians,Boston Red Sox,2025-04-27 23:55:00+00:00,HistoricalBasic,2025-04-27 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-04-27,778146,ML,AWAY,San Diego Padres,Tampa Bay Rays,2025-04-27 23:55:00+00:00,HistoricalBasic,2025-04-27 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-04-27,778158,ML,HOME,Chicago Cubs,Philadelphia Phillies,2025-04-27 23:55:00+00:00,HistoricalBasic,2025-04-27 23:59:00+00:00,True,-130.0,-130.0,-230.0,0.06521739130434778,WIN
2025,2025-04-30,778116,ML,HOME,Cleveland Guardians,Minnesota Twins,2025-04-30 23:55:00+00:00,HistoricalBasic,2025-04-30 23:59:00+00:00,True,-110.0,-110.0,-230.0,0.0692640692640693,WIN
2025,2025-04-30,778114,ML,HOME,Toronto Blue Jays,Boston Red Sox,2025-04-30 23:55:00+00:00,HistoricalBasic,2025-04-30 23:59:00+00:00,True,-110.0,-110.0,-8.0,0.01885902876001888,WIN
2025,2025-05-01,778107,ML,AWAY,Cincinnati Reds,St. Louis Cardinals,2025-05-01 23:55:00+00:00,HistoricalBasic,2025-05-01 23:59:00+00:00,True,-120.0,-120.0,-225.0,0.05764966740576494,WIN
2025,2025-05-01,778108,ML,AWAY,Cleveland Guardians,Minnesota Twins,2025-05-01 23:55:00+00:00,HistoricalBasic,2025-05-01 23:59:00+00:00,True,-125.0,-125.0,-20.0,0.04336043360433606,WIN
2025,2025-05-03,778065,ML,HOME,Pittsburgh Pirates,San Diego Padres,2025-05-03 23:55:00+00:00,HistoricalBasic,2025-05-03 23:59:00+00:00,True,-125.0,-125.0,-225.0,0.05555555555555558,WIN
2025,2025-05-03,778071,ML,AWAY,Milwaukee Brewers,Chicago Cubs,2025-05-03 23:55:00+00:00,HistoricalBasic,2025-05-03 23:59:00+00:00,True,-110.0,-110.0,-5.0,0.011614401858304313,WIN
2025,2025-05-06,778026,ML,HOME,Washington Nationals,Cleveland Guardians,2025-05-06 23:55:00+00:00,HistoricalBasic,2025-05-06 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-05-07,778022,ML,HOME,Washington Nationals,Cleveland Guardians,2025-05-07 23:55:00+00:00,HistoricalBasic,2025-05-07 23:59:00+00:00,True,-110.0,-110.0,-225.0,0.0586932447397564,WIN
2025,2025-05-07,778023,ML,HOME,Atlanta Braves,Cincinnati Reds,2025-05-07 23:55:00+00:00,HistoricalBasic,2025-05-07 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2025,2025-05-09,777988,ML,HOME,Arizona Diamondbacks,Los Angeles Dodgers,2025-05-09 23:55:00+00:00,HistoricalBasic,2025-05-09 23:59:00+00:00,True,-115.0,-115.0,-225.0,0.058693244739756345,WIN
2025,2025-05-10,777977,ML,HOME,Kansas City Royals,Boston Red Sox,2025-05-10 23:55:00+00:00,HistoricalBasic,2025-05-10 23:59:00+00:00,True,-120.0,-120.0,-220.0,0.045454545454545414,WIN
2025,2025-05-10,777983,ML,AWAY,Cleveland Guardians,Philadelphia Phillies,2025-05-10 23:55:00+00:00,HistoricalBasic,2025-05-10 23:59:00+00:00,True,-130.0,-130.0,-10.0,0.01976284584980237,WIN
2025,2025-05-12,777939,ML,AWAY,San Francisco Giants,Arizona Diamondbacks,2025-05-12 23:55:00+00:00,HistoricalBasic,2025-05-12 23:59:00+00:00,True,-118.0,-118.0,-13.0,0.029089281718505222,WIN
2025,2025-05-16,777903,ML,AWAY,Miami Marlins,Tampa Bay Rays,2025-05-16 23:55:00+00:00,HistoricalBasic,2025-05-16 23:59:00+00:00,True,-125.0,-125.0,-20.0,0.04336043360433606,WIN
2025,2025-05-23,777808,ML,HOME,New York Mets,Los Angeles Dodgers,2025-05-23 23:55:00+00:00,HistoricalBasic,2025-05-23 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
